Date,yyyymmdd,vwretd,vwretx,ewretd,ewretx,totval,totcnt,usdval,usdcnt,spindx,sprtrn
1982-10-04,19821004,-0.002776,-0.003170,-0.003261,-0.003601,859990111,500,862724857,500,121.51,-0.003771
1982-10-05,19821005,0.003841,0.003755,0.004965,0.004905,863233299,500,859990111,500,121.98,0.003868
1982-10-06,19821006,0.033086,0.033086,0.026330,0.026330,891793875,500,863233299,500,125.97,0.032710
1982-10-07,19821007,0.022503,0.022503,0.023412,0.023412,911974431,500,891904764,500,128.80,0.022466
1982-10-08,19821008,0.018945,0.018787,0.018307,0.017984,929111439,500,911974431,500,131.05,0.017469
